LSOA_code,all,G1,G2,G3,G4
E01000212,1031,570,251,144,66
E01000213,919,554,233,78,54
E01000214,1257,776,267,137,77
E01000215,1274,559,369,176,170
E01000216,1273,657,322,160,134
E01000217,1146,535,345,146,120
E01000218,1164,480,376,176,132
E01000219,1356,505,375,332,144
E01000220,1266,464,374,252,176
E01000221,915,209,248,248,210
E01000222,1422,466,391,338,227
E01000223,1374,409,367,354,244
E01000224,1184,401,355,228,200
E01000225,1094,481,360,135,118
E01000226,1207,306,347,366,188
E01000227,1372,572,419,262,119
E01000228,1033,453,305,177,98
E01000229,1183,392,366,291,134
E01000230,1346,581,411,220,134
E01000231,1267,495,388,246,138
E01000232,1380,638,384,208,150
E01000233,1411,632,402,263,114
E01000234,1282,681,359,170,72
E01000235,1306,450,355,353,148
E01000236,1230,552,351,176,151
E01000237,1414,580,403,296,135
E01000238,1281,480,422,261,118
E01000239,1485,557,389,331,208
E01000240,1287,461,411,271,144
E01000241,1266,616,356,183,111
E01000242,1082,520,291,159,112
E01000243,1485,570,444,345,126
E01000244,1104,395,314,287,108
E01000245,1472,407,377,439,249
E01000246,1190,662,302,167,59
E01000247,1286,678,324,199,85
E01000248,1310,737,278,231,64
E01000249,1236,697,313,165,61
E01000250,2007,957,470,369,211
E01000251,1650,657,443,335,215
E01000252,1340,629,349,241,121
E01000253,1481,835,425,91,130
E01000254,1226,734,293,142,57
E01000255,1215,510,296,258,151
E01000256,1339,620,380,225,114
E01000257,1555,671,382,332,170
E01000258,1473,727,394,238,114
E01000259,1900,904,523,280,193
E01000260,1543,609,457,323,154
E01000261,1241,660,335,151,95
E01000263,1080,645,296,82,57
E01000264,1330,596,369,244,121
E01000265,1380,492,397,338,153
E01000266,1090,608,307,100,75
E01000267,1161,581,295,214,71
E01000268,1527,701,346,298,182
E01000269,1066,516,281,191,78
E01000270,1168,604,316,165,83
E01000271,1266,625,353,189,99
E01000272,1110,614,277,100,119
E01000273,1335,633,303,243,156
E01000274,1375,541,384,320,130
E01000275,1356,703,309,187,157
E01000276,1051,614,259,95,83
E01000277,1255,582,282,238,153
E01000278,1045,634,237,94,80
E01000279,1054,575,319,86,74
E01000280,1040,615,291,76,58
E01000281,1333,812,257,169,95
E01000282,1342,710,343,176,113
E01000283,1022,583,280,94,65
E01000284,1407,572,351,317,167
E01000285,1135,494,273,256,112
E01000286,1259,470,280,342,167
E01000287,1184,403,319,309,153
E01000288,1139,536,287,232,84
