LSOA_code,all,G1,G2,G3,G4
E01000196,2130,621,211,407,891
E01000197,1850,624,80,357,789
E01000198,2196,846,152,253,945
E01000199,1576,741,30,194,611
E01000200,1971,864,96,261,750
E01000201,1541,673,69,262,537
E01000202,1667,690,71,161,745
E01000203,1847,626,186,328,707
E01000204,1699,783,84,209,623
E01000205,1504,729,83,157,535
E01000206,1504,719,65,197,523
E01000207,1581,765,56,128,632
E01000208,1624,680,57,204,683
E01000209,1486,836,33,68,549
E01000210,1544,694,55,131,664
E01000211,2136,559,195,400,982
E01000212,1344,582,51,191,520
E01000213,1349,751,33,67,498
E01000214,1623,668,46,199,710
E01000215,2145,1067,90,158,830
E01000216,1974,806,66,224,878
E01000217,1784,951,63,84,686
E01000218,1846,900,64,143,739
E01000219,2193,804,84,381,924
E01000220,1889,868,70,146,805
E01000221,1411,282,390,163,576
E01000222,2025,393,242,298,1092
E01000223,2029,421,339,290,979
E01000224,1692,301,236,300,855
E01000225,1867,965,39,79,784
E01000226,1734,469,317,341,607
E01000227,1876,706,108,386,676
E01000228,1435,562,128,344,401
E01000229,1669,606,265,248,550
E01000230,1967,1025,61,263,618
E01000231,1781,414,288,491,588
E01000232,1879,682,167,383,647
E01000233,1939,704,170,391,674
E01000234,1786,782,153,237,614
E01000235,1867,549,354,250,714
E01000236,1942,991,81,97,773
E01000237,2106,678,93,196,1139
E01000238,2095,954,113,143,885
E01000239,2059,470,280,323,986
E01000240,1732,458,179,363,732
E01000241,1785,645,98,241,801
E01000242,1605,759,141,149,556
E01000243,2160,669,154,197,1140
E01000244,1643,409,183,306,745
E01000245,2062,518,302,261,981
E01000246,1519,916,60,137,406
E01000247,1697,986,99,153,459
E01000248,1704,1126,75,104,399
E01000249,1614,1054,53,158,349
E01000250,2614,1262,298,247,807
E01000251,2278,958,454,247,619
E01000252,1715,893,104,146,572
E01000253,1988,1025,116,286,561
E01000254,1604,1109,63,92,340
E01000255,1696,669,275,243,509
E01000256,1934,753,279,245,657
E01000257,2090,686,321,301,782
E01000258,1895,955,148,223,569
E01000259,2648,785,249,622,992
E01000260,2169,634,332,424,779
E01000261,1766,969,81,140,576
E01000263,1530,936,40,175,379
E01000264,1820,647,199,322,652
E01000265,1918,716,155,250,797
E01000266,1435,715,44,219,457
E01000267,1523,679,80,289,475
E01000268,2072,756,293,277,746
E01000269,1385,750,69,194,372
E01000270,1546,754,133,192,467
E01000271,1633,739,91,204,599
E01000272,1425,678,44,259,444
E01000273,1671,660,136,266,609
E01000274,1941,825,190,257,669
E01000275,1742,612,93,398,639
E01000276,1533,562,54,367,550
E01000277,1652,445,174,359,674
E01000278,1477,517,38,483,439
E01000279,1370,806,46,156,362
E01000280,1340,666,45,246,383
E01000281,1785,667,140,245,733
E01000282,1807,779,73,325,630
E01000283,1374,649,43,262,420
E01000284,1811,592,98,301,820
E01000285,1511,726,185,249,351
E01000286,1710,831,184,270,425
E01000287,1634,851,201,171,411
E01000288,1546,695,116,243,492
E01000289,1579,626,349,173,431
E01000290,1616,857,106,239,414
E01000291,1565,658,286,169,452
E01000292,1537,851,97,176,413
E01000293,1763,868,101,219,575
E01000294,1813,916,161,217,519
E01000295,1621,550,56,320,695
E01000296,1784,534,104,255,891
E01000297,1418,393,115,338,572
E01000298,1713,590,79,333,711
E01000299,2220,495,172,554,999
E01000300,1667,638,74,332,623
E01000301,1500,514,75,408,503
E01000302,1792,558,114,360,760
E01000303,1497,487,58,348,604
E01000304,1558,532,116,251,659
E01000305,1631,279,182,433,737
E01000306,1975,227,104,643,1001
E01000307,1655,325,171,451,708
E01000308,2112,499,330,427,856
E01000309,2052,401,187,414,1050
E01000310,2192,487,173,547,985
E01000311,1767,1027,59,96,585
E01000312,1774,502,216,347,709
E01000313,1897,308,225,548,816
E01000314,2168,426,199,463,1080
E01000315,1705,603,297,311,494
E01000316,2283,618,226,532,907
E01000317,1583,536,87,324,636
E01000318,1922,515,98,542,767
E01000319,1402,577,79,220,526
E01000320,1935,747,133,303,752
E01000321,1956,736,86,288,846
E01000322,1861,689,126,231,815
E01000323,2360,642,187,541,990
E01000324,1824,698,115,329,682
E01033911,1878,737,166,315,660
E01033912,1707,487,217,310,693
E01033913,1530,303,357,284,586
E01033914,1813,375,365,418,655
E01033915,1486,272,309,243,662
E01033916,1784,257,259,274,994
E01033917,1511,246,261,315,689
E01033918,1546,252,260,354,680
E01033919,1316,181,157,288,690
E01033920,1521,231,102,391,797
E01033921,1657,223,298,394,742
E01033922,1710,218,166,486,840
E01033923,1556,202,233,467,654
E01033924,1537,249,262,494,532
E01033925,1729,284,222,500,723
E01000325,1647,1355,63,73,156
E01000326,1379,904,201,56,218
E01000327,1622,1187,68,177,190
E01000328,1635,1276,103,78,178
E01000329,1693,1123,145,129,296
E01000330,1659,1150,147,99,263
E01000331,1695,1158,218,87,232
E01000332,1588,945,232,176,235
E01000333,1919,1151,332,110,326
E01000334,1673,1045,209,191,228
E01000335,2722,863,849,267,743
E01000336,2005,809,580,189,427
E01000337,1734,885,430,119,300
E01000338,1856,888,384,225,359
E01000339,1617,1301,61,59,196
E01000340,1586,1219,101,83,183
E01000341,1543,1237,67,46,193
E01000342,1521,1276,51,44,150
E01000343,1510,1208,64,76,162
E01000344,1594,1327,62,27,178
E01000345,1340,1143,46,44,107
E01000346,1590,1315,62,60,153
E01000347,1524,1183,81,89,171
E01000348,1513,1238,52,79,144
E01000349,1724,1349,109,114,152
E01000350,1481,1255,40,54,132
E01000351,1612,1301,61,79,171
E01000352,1616,1181,135,115,185
E01000353,1635,1265,77,135,158
E01000354,1500,1043,114,148,195
E01000355,1439,1152,62,71,154
E01000356,1563,985,73,287,218
E01000357,1400,996,58,233,113
E01000358,1653,1127,114,166,246
E01000359,1262,874,91,170,127
E01000360,1913,1195,143,162,413
E01000361,1594,1208,54,98,234
E01000362,1866,1230,135,170,331
E01000363,1552,1095,88,184,185
E01000364,1701,1111,162,144,284
E01000365,1724,1208,99,115,302
E01000366,1637,1051,105,163,318
E01000367,2268,1267,569,116,316
E01000368,1682,1104,295,91,192
E01000369,1726,1294,179,86,167
E01000370,1558,1119,123,113,203
E01000371,1622,1255,129,77,161
E01000372,1696,1046,314,141,195
E01000373,1321,524,409,75,313
E01000374,1575,1001,314,47,213
E01000375,2127,1336,276,179,336
E01000376,1618,1143,177,70,228
E01000377,1466,1138,147,24,157
E01000379,1713,1260,116,99,238
E01000380,1738,1306,196,44,192
E01000381,1613,1320,97,30,166
E01000382,1568,1254,50,91,173
E01000383,1594,1285,121,42,146
E01000384,1723,1336,129,44,214
E01000385,2009,1308,316,83,302
E01000386,1541,953,256,85,247
E01000387,1555,1235,80,72,168
E01000388,1510,948,129,202,231
E01000389,1701,1104,115,225,257
E01000390,1340,930,85,140,185
E01000391,1746,1261,127,123,235
E01000392,1960,963,288,251,458
E01000393,1699,1044,154,204,297
E01000394,1627,1134,85,172,236
E01000395,1534,1045,108,155,226
E01000396,1449,1000,105,141,203
E01000398,1595,1085,109,124,277
E01000399,1567,956,120,197,294
E01000400,1568,889,138,270,271
E01000401,1815,1132,159,176,348
E01000402,1603,962,279,162,200
E01000403,2400,1257,672,161,310
E01000404,2429,882,948,152,447
E01000405,1577,769,389,172,247
E01000406,2139,924,677,187,351
E01000407,1878,976,361,263,278
E01000408,1771,653,451,328,339
E01000409,1736,1211,72,162,291
E01000410,1658,1135,154,100,269
E01000411,1495,1049,138,99,209
E01000412,1767,1140,135,148,344
E01000413,1343,999,98,76,170
E01000414,1894,985,174,278,457
E01000415,1470,942,83,211,234
E01000416,1634,494,635,135,370
E01000417,1740,986,268,112,374
E01000418,1946,766,547,219,414
E01000419,1495,942,102,223,228
E01000420,1519,1078,166,119,156
E01000421,1525,1146,79,154,146
E01000422,1340,393,675,108,164
E01000423,1615,1305,34,82,194
E01000424,1730,1418,40,90,182
E01000425,1803,1482,50,81,190
E01000426,1671,1327,72,68,204
E01000427,2003,1639,103,59,202
E01000428,1914,1288,213,103,310
E01000429,1697,746,625,57,269
E01000430,2051,788,891,121,251
E01000431,1201,615,385,56,145
E01000433,1962,1042,584,84,252
E01000434,1591,1040,345,65,141
E01000435,1493,879,405,73,136
E01000436,1757,1347,93,175,142
E01000437,1371,984,124,131,132
E01000438,1686,1142,203,94,247
E01000439,1425,933,255,77,160
E01000440,1391,1003,94,158,136
E01000441,1796,1194,255,113,234
E01000442,1675,1177,164,165,169
E01000443,1330,1085,59,40,146
E01000444,1636,1333,58,121,124
E01000445,1669,1375,57,92,145
E01000446,1499,1302,36,53,108
E01000447,1961,1479,106,93,283
E01000448,1347,1128,32,72,115
E01000449,1567,1287,31,77,172
E01000450,1804,1163,192,214,235
E01000451,1756,1169,177,208,202
E01000452,1427,894,131,218,184
E01000453,1487,967,133,168,219
E01000454,1635,991,138,257,249
E01000455,1798,1050,101,310,337
E01000456,1422,929,89,196,208
E01000457,2178,1591,138,96,353
E01000458,1541,1240,65,87,149
E01000459,1873,1376,133,126,238
E01000460,1258,1005,32,60,161
E01000461,1642,1284,64,153,141
E01000462,2054,1502,111,115,326
E01000463,1248,991,68,52,137
E01000464,1519,569,696,70,184
E01000465,1692,685,709,53,245
E01000466,1704,452,911,78,263
E01000467,1680,536,796,117,231
E01000468,2938,620,1716,100,502
E01000469,1746,462,852,106,326
E01000470,1307,486,548,62,211
E01032566,1882,1045,248,262,327
E01033789,1768,423,811,226,308
E01033790,1339,731,329,49,230
E01033791,1378,866,174,70,268
E01033792,1379,1030,155,61,133
E01000471,1718,127,185,927,479
E01000472,2406,246,371,883,906
E01000473,2701,103,333,1898,367
